Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric",117.700000,-77.000000,0.000000,top
"C2","22uF","C_0805_2012Metric",122.250000,-83.250000,90.000000,top
"C3","10uF","C_0603_1608Metric",106.500000,-66.750000,0.000000,top
"C4","100nF","C_0402_1005Metric",103.000000,-71.250000,90.000000,top
"C5","100nF","C_0402_1005Metric",111.880000,-80.650000,180.000000,top
"C6","100nF","C_0402_1005Metric",115.250000,-72.230000,-90.000000,top
"C7","100nF","C_0402_1005Metric",106.500000,-68.500000,0.000000,top
"C8","10nF","C_0402_1005Metric",102.750000,-75.480000,90.000000,top
"C9","1uF","C_0402_1005Metric",102.190000,-79.180000,180.000000,top
"C10","1uF","C_0402_1005Metric",102.220000,-80.600000,180.000000,top
"C11","100nF","C_0402_1005Metric",106.750000,-81.000000,0.000000,top
"C12","10pF","C_0402_1005Metric",100.850000,-72.250000,90.000000,top
"C13","10pF","C_0402_1005Metric",100.850000,-74.250000,90.000000,top
"D1","RED","LED_0603_1608Metric",125.500000,-83.250000,-90.000000,top
"FB1","120R","L_0603_1608Metric",104.250000,-80.037500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",127.050000,-73.250000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",123.300000,-61.790000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",110.620000,-61.630000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",103.190000,-88.500000,90.000000,top
"R1","1k5","R_0402_1005Metric",125.500000,-80.250000,-90.000000,top
"R2","10K","R_0402_1005Metric",99.750000,-67.750000,90.000000,top
"R3","1k5","R_0402_1005Metric",119.010000,-72.660000,90.000000,top
"R4","1k5","R_0402_1005Metric",106.220000,-85.540000,0.000000,top
"R5","1k5","R_0402_1005Metric",108.220000,-85.540000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",92.370000,-70.100000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",109.000000,-74.567500,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",117.250000,-82.500000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",98.500000,-73.250000,-90.000000,top
